transaction_id,amount_sar,channel,merchant_category,customer_id,timestamp,ip_country,device_type,is_fraud
TXN-2026-00000,42.67,pos,HEALTHCARE,CUST-0655,2026-07-18T03:43:47Z,SA,atm,0
TXN-2026-00001,288.54,pos,RESTAURANT,CUST-0617,2026-06-27T07:28:37Z,AE,mobile,0
TXN-2026-00002,86.99,ecom,PHARMACY,CUST-0164,2026-07-19T10:06:05Z,US,mobile,0
TXN-2026-00003,48.21,ecom,JEWELRY,CUST-0045,2026-07-11T19:56:55Z,EG,web,0
TXN-2026-00004,96.36,ecom,EDUCATION,CUST-0047,2026-06-15T03:24:17Z,GB,pos_terminal,0
TXN-2026-00005,80.26,transfer,UTILITIES,CUST-0719,2026-06-30T12:17:59Z,SA,pos_terminal,0
TXN-2026-00006,20.29,pos,HOME_GOODS,CUST-0795,2026-06-18T02:13:58Z,EG,web,0
TXN-2026-00007,24.78,pos,TRAVEL,CUST-0470,2026-06-17T23:37:27Z,US,pos_terminal,0
TXN-2026-00008,68.04,ecom,ELECTRONICS,CUST-0142,2026-07-14T13:38:04Z,US,atm,0
TXN-2026-00009,217.94,atm,GROCERY,CUST-0567,2026-07-27T17:48:17Z,EG,mobile,0
TXN-2026-00010,388.73,ecom,HEALTHCARE,CUST-0162,2026-07-03T05:32:58Z,SA,pos_terminal,1
TXN-2026-00011,1063.3,atm,JEWELRY,CUST-0383,2026-07-02T00:07:59Z,EG,pos_terminal,1
TXN-2026-00012,32.42,atm,ELECTRONICS,CUST-0247,2026-06-05T17:49:08Z,SA,atm,0
TXN-2026-00013,256.77,pos,RESTAURANT,CUST-0622,2026-06-26T21:41:23Z,GB,atm,0
TXN-2026-00014,91.51,pos,GROCERY,CUST-0231,2026-06-15T00:04:45Z,SA,web,0
TXN-2026-00015,69.43,pos,UTILITIES,CUST-0527,2026-07-17T18:36:30Z,SA,atm,0
TXN-2026-00016,58.81,pos,UTILITIES,CUST-0195,2026-06-30T23:03:43Z,SA,mobile,0
TXN-2026-00017,62.32,pos,JEWELRY,CUST-0255,2026-06-18T14:15:55Z,SA,atm,0
TXN-2026-00018,162.27,pos,UTILITIES,CUST-0564,2026-07-02T15:13:55Z,US,mobile,0
TXN-2026-00019,107.1,pos,HEALTHCARE,CUST-0466,2026-06-10T06:18:13Z,SA,mobile,0
TXN-2026-00020,76.44,pos,ENTERTAINMENT,CUST-0059,2026-06-11T01:32:05Z,SA,mobile,0
TXN-2026-00021,22.62,transfer,ONLINE_SERVICES,CUST-0123,2026-07-10T02:26:42Z,EG,pos_terminal,0
TXN-2026-00022,40.49,pos,FASHION,CUST-0734,2026-06-20T14:20:59Z,SA,mobile,0
TXN-2026-00023,110.79,ecom,JEWELRY,CUST-0076,2026-07-24T17:45:19Z,SA,pos_terminal,0
TXN-2026-00024,126.68,transfer,TRAVEL,CUST-0107,2026-06-19T19:13:45Z,EG,web,0
TXN-2026-00025,51.35,transfer,HOME_GOODS,CUST-0258,2026-06-17T05:47:28Z,US,mobile,0
TXN-2026-00026,18.39,transfer,JEWELRY,CUST-0708,2026-07-06T04:27:08Z,SA,pos_terminal,0
TXN-2026-00027,416.36,atm,RESTAURANT,CUST-0041,2026-06-23T17:56:55Z,US,web,0
TXN-2026-00028,330.23,atm,EDUCATION,CUST-0243,2026-07-21T22:06:24Z,SA,atm,0
TXN-2026-00029,62.67,atm,HOME_GOODS,CUST-0313,2026-07-26T02:49:17Z,EG,atm,0
TXN-2026-00030,44.86,pos,GROCERY,CUST-0550,2026-06-28T11:46:50Z,EG,atm,0
TXN-2026-00031,419.89,pos,GROCERY,CUST-0591,2026-07-17T23:47:42Z,SA,pos_terminal,0
TXN-2026-00032,7.31,transfer,ONLINE_SERVICES,CUST-0681,2026-07-17T09:32:19Z,US,pos_terminal,0
TXN-2026-00033,202.72,ecom,FUEL,CUST-0431,2026-07-06T00:19:18Z,SA,atm,0
TXN-2026-00034,105.78,ecom,ENTERTAINMENT,CUST-0622,2026-07-03T15:50:57Z,SA,mobile,0
TXN-2026-00035,71.84,atm,EDUCATION,CUST-0096,2026-07-22T06:09:01Z,SA,web,0
TXN-2026-00036,70.89,atm,ELECTRONICS,CUST-0626,2026-07-07T06:45:44Z,US,atm,0
TXN-2026-00037,40.79,atm,TELECOM,CUST-0769,2026-06-12T22:33:29Z,SA,web,0
TXN-2026-00038,128.73,ecom,EDUCATION,CUST-0125,2026-07-06T19:20:48Z,GB,atm,0
TXN-2026-00039,81.15,atm,ENTERTAINMENT,CUST-0762,2026-07-11T08:49:49Z,GB,web,0
TXN-2026-00040,78.79,ecom,RESTAURANT,CUST-0080,2026-07-05T02:08:09Z,SA,atm,1
TXN-2026-00041,60.32,pos,ENTERTAINMENT,CUST-0418,2026-06-27T12:57:49Z,SA,atm,0
TXN-2026-00042,40.24,pos,FUEL,CUST-0361,2026-07-05T19:57:14Z,GB,web,0
TXN-2026-00043,2105.77,ecom,FUEL,CUST-0685,2026-07-29T04:39:34Z,SA,atm,0
TXN-2026-00044,26.8,pos,UTILITIES,CUST-0679,2026-06-12T01:16:24Z,EG,web,0
TXN-2026-00045,60.55,atm,HOME_GOODS,CUST-0285,2026-07-01T00:47:34Z,SA,pos_terminal,0
TXN-2026-00046,7.64,atm,UTILITIES,CUST-0071,2026-07-10T04:15:08Z,GB,mobile,0
TXN-2026-00047,164.49,pos,ONLINE_SERVICES,CUST-0786,2026-06-08T05:19:06Z,SA,pos_terminal,0
TXN-2026-00048,18.25,pos,HEALTHCARE,CUST-0385,2026-07-24T20:15:06Z,AE,mobile,0
TXN-2026-00049,15.09,pos,PHARMACY,CUST-0546,2026-07-02T03:27:23Z,GB,web,0
TXN-2026-00050,15.45,ecom,UTILITIES,CUST-0752,2026-07-05T15:29:27Z,AE,pos_terminal,0
TXN-2026-00051,109.65,pos,ENTERTAINMENT,CUST-0462,2026-06-22T00:31:54Z,EG,web,0
TXN-2026-00052,53.01,atm,PHARMACY,CUST-0364,2026-07-27T08:35:00Z,SA,mobile,0
TXN-2026-00053,306.26,ecom,UTILITIES,CUST-0247,2026-06-02T02:18:14Z,US,web,1
TXN-2026-00054,81.58,pos,JEWELRY,CUST-0596,2026-07-18T17:21:22Z,GB,pos_terminal,0
TXN-2026-00055,7.95,pos,JEWELRY,CUST-0324,2026-06-18T23:37:48Z,AE,mobile,0
TXN-2026-00056,20.53,pos,TRAVEL,CUST-0304,2026-06-09T08:02:03Z,AE,web,0
TXN-2026-00057,139.64,ecom,ENTERTAINMENT,CUST-0013,2026-06-04T08:55:30Z,SA,mobile,0
TXN-2026-00058,175.97,ecom,UTILITIES,CUST-0076,2026-06-16T03:35:48Z,US,web,0
TXN-2026-00059,56.31,atm,FUEL,CUST-0305,2026-07-10T23:06:48Z,SA,web,0
TXN-2026-00060,82.79,pos,TRAVEL,CUST-0084,2026-06-27T14:44:38Z,GB,pos_terminal,0
TXN-2026-00061,147.9,pos,RESTAURANT,CUST-0465,2026-07-30T06:27:07Z,SA,web,0
TXN-2026-00062,288.2,pos,TRAVEL,CUST-0146,2026-07-23T18:58:18Z,GB,mobile,0
TXN-2026-00063,110.81,ecom,ENTERTAINMENT,CUST-0279,2026-07-27T13:47:20Z,AE,mobile,0
TXN-2026-00064,175.54,atm,ONLINE_SERVICES,CUST-0691,2026-07-19T21:52:17Z,SA,web,0
TXN-2026-00065,121.56,transfer,FUEL,CUST-0186,2026-06-06T15:22:26Z,EG,pos_terminal,0
TXN-2026-00066,71.86,pos,HEALTHCARE,CUST-0165,2026-06-26T17:02:29Z,SA,pos_terminal,0
TXN-2026-00067,284.42,atm,GROCERY,CUST-0527,2026-06-27T01:12:33Z,EG,atm,0
TXN-2026-00068,266.18,pos,FASHION,CUST-0779,2026-06-29T22:31:07Z,SA,web,0
TXN-2026-00069,313.22,pos,HOME_GOODS,CUST-0418,2026-06-08T20:53:09Z,GB,pos_terminal,0
TXN-2026-00070,86.22,pos,ENTERTAINMENT,CUST-0280,2026-07-29T19:32:47Z,SA,mobile,0
TXN-2026-00071,41.09,pos,GROCERY,CUST-0520,2026-07-08T18:42:31Z,SA,atm,0
TXN-2026-00072,85.67,pos,EDUCATION,CUST-0354,2026-06-21T06:44:15Z,US,web,0
TXN-2026-00073,724.61,ecom,EDUCATION,CUST-0485,2026-06-10T15:02:08Z,EG,mobile,0
TXN-2026-00074,54.99,pos,TELECOM,CUST-0451,2026-06-27T20:09:04Z,GB,pos_terminal,0
TXN-2026-00075,592.0,atm,HOME_GOODS,CUST-0337,2026-07-11T22:56:48Z,GB,mobile,0
TXN-2026-00076,88.29,ecom,TELECOM,CUST-0241,2026-06-06T13:06:48Z,SA,atm,0
TXN-2026-00077,92.84,atm,FASHION,CUST-0333,2026-06-16T16:26:36Z,SA,web,0
TXN-2026-00078,295.29,atm,ONLINE_SERVICES,CUST-0625,2026-07-08T04:14:29Z,AE,atm,0
TXN-2026-00079,132.06,ecom,TRAVEL,CUST-0295,2026-06-25T15:06:15Z,US,pos_terminal,0
TXN-2026-00080,111.23,pos,HOME_GOODS,CUST-0717,2026-07-07T21:49:47Z,SA,atm,0
TXN-2026-00081,77.11,ecom,PHARMACY,CUST-0236,2026-06-17T21:48:46Z,SA,mobile,0
TXN-2026-00082,56.51,pos,EDUCATION,CUST-0662,2026-07-17T04:05:58Z,AE,pos_terminal,0
TXN-2026-00083,290.9,atm,PHARMACY,CUST-0553,2026-07-24T05:16:58Z,GB,pos_terminal,0
TXN-2026-00084,44.25,atm,ENTERTAINMENT,CUST-0347,2026-06-01T08:34:07Z,GB,pos_terminal,0
TXN-2026-00085,137.59,transfer,ELECTRONICS,CUST-0654,2026-07-10T17:20:58Z,SA,mobile,0
TXN-2026-00086,101.37,transfer,FASHION,CUST-0476,2026-06-03T01:19:31Z,SA,mobile,0
TXN-2026-00087,332.41,ecom,HEALTHCARE,CUST-0380,2026-07-08T23:46:09Z,US,mobile,0
TXN-2026-00088,18.16,pos,FASHION,CUST-0631,2026-06-29T14:15:54Z,EG,mobile,0
TXN-2026-00089,27.72,pos,FUEL,CUST-0661,2026-07-11T19:01:03Z,EG,web,0
TXN-2026-00090,138.53,pos,HOME_GOODS,CUST-0579,2026-06-14T07:21:49Z,SA,mobile,0
TXN-2026-00091,24.96,pos,TRAVEL,CUST-0554,2026-07-21T07:37:20Z,SA,web,0
TXN-2026-00092,127.36,ecom,JEWELRY,CUST-0130,2026-07-08T03:28:32Z,SA,mobile,0
TXN-2026-00093,30.25,ecom,GROCERY,CUST-0309,2026-06-26T13:43:06Z,GB,atm,0
TXN-2026-00094,23.8,pos,TRAVEL,CUST-0083,2026-07-11T18:35:45Z,EG,atm,0
TXN-2026-00095,979.12,pos,EDUCATION,CUST-0620,2026-07-12T17:46:55Z,SA,atm,0
TXN-2026-00096,63.42,pos,HOME_GOODS,CUST-0234,2026-06-07T10:27:20Z,AE,pos_terminal,0
TXN-2026-00097,89.72,atm,ELECTRONICS,CUST-0094,2026-06-24T04:35:03Z,EG,mobile,0
