transaction_id,decision
TXN-2026-00000,allow
TXN-2026-00001,allow
TXN-2026-00002,allow
TXN-2026-00003,allow
TXN-2026-00004,review
TXN-2026-00005,allow
TXN-2026-00006,allow
TXN-2026-00007,allow
TXN-2026-00008,allow
TXN-2026-00009,allow
TXN-2026-00010,block
TXN-2026-00011,block
TXN-2026-00012,allow
TXN-2026-00013,allow
TXN-2026-00014,allow
TXN-2026-00015,allow
TXN-2026-00016,allow
TXN-2026-00017,allow
TXN-2026-00018,allow
TXN-2026-00019,allow
TXN-2026-00020,allow
TXN-2026-00021,allow
TXN-2026-00022,allow
TXN-2026-00023,allow
TXN-2026-00024,allow
TXN-2026-00025,allow
TXN-2026-00026,allow
TXN-2026-00027,allow
TXN-2026-00028,allow
TXN-2026-00029,review
TXN-2026-00030,allow
TXN-2026-00031,allow
TXN-2026-00032,allow
TXN-2026-00033,block
TXN-2026-00034,allow
TXN-2026-00035,allow
TXN-2026-00036,allow
TXN-2026-00037,allow
TXN-2026-00038,allow
TXN-2026-00039,allow
TXN-2026-00040,review
TXN-2026-00041,allow
TXN-2026-00042,allow
TXN-2026-00043,block
TXN-2026-00044,allow
TXN-2026-00045,review
TXN-2026-00046,allow
TXN-2026-00047,allow
TXN-2026-00048,allow
TXN-2026-00049,allow
TXN-2026-00050,allow
TXN-2026-00051,allow
TXN-2026-00052,allow
TXN-2026-00053,block
TXN-2026-00054,allow
TXN-2026-00055,allow
TXN-2026-00056,allow
TXN-2026-00057,allow
TXN-2026-00058,block
TXN-2026-00059,allow
TXN-2026-00060,allow
TXN-2026-00061,allow
TXN-2026-00062,allow
TXN-2026-00063,allow
TXN-2026-00064,allow
TXN-2026-00065,allow
TXN-2026-00066,allow
TXN-2026-00067,block
TXN-2026-00068,allow
TXN-2026-00069,allow
TXN-2026-00070,allow
TXN-2026-00071,allow
TXN-2026-00072,allow
TXN-2026-00073,allow
TXN-2026-00074,allow
TXN-2026-00075,allow
TXN-2026-00076,allow
TXN-2026-00077,allow
TXN-2026-00078,block
TXN-2026-00079,allow
TXN-2026-00080,allow
TXN-2026-00081,allow
TXN-2026-00082,allow
TXN-2026-00083,block
TXN-2026-00084,allow
TXN-2026-00085,allow
TXN-2026-00086,allow
TXN-2026-00087,allow
TXN-2026-00088,allow
TXN-2026-00089,allow
TXN-2026-00090,allow
TXN-2026-00091,allow
TXN-2026-00092,review
TXN-2026-00093,allow
TXN-2026-00094,allow
TXN-2026-00095,allow
TXN-2026-00096,allow
TXN-2026-00097,block
TXN-2026-00098,allow
TXN-2026-00099,allow
TXN-2026-00100,review
TXN-2026-00101,allow
TXN-2026-00102,allow
TXN-2026-00103,allow
TXN-2026-00104,allow
TXN-2026-00105,review
TXN-2026-00106,allow
TXN-2026-00107,allow
TXN-2026-00108,allow
TXN-2026-00109,allow
TXN-2026-00110,allow
TXN-2026-00111,allow
TXN-2026-00112,allow
TXN-2026-00113,allow
TXN-2026-00114,allow
TXN-2026-00115,allow
TXN-2026-00116,allow
TXN-2026-00117,allow
TXN-2026-00118,allow
TXN-2026-00119,allow
TXN-2026-00120,allow
TXN-2026-00121,allow
TXN-2026-00122,allow
TXN-2026-00123,block
TXN-2026-00124,allow
TXN-2026-00125,allow
TXN-2026-00126,allow
TXN-2026-00127,allow
TXN-2026-00128,allow
TXN-2026-00129,allow
TXN-2026-00130,allow
TXN-2026-00131,allow
TXN-2026-00132,allow
TXN-2026-00133,allow
TXN-2026-00134,allow
TXN-2026-00135,allow
TXN-2026-00136,allow
TXN-2026-00137,allow
TXN-2026-00138,allow
TXN-2026-00139,allow
TXN-2026-00140,allow
TXN-2026-00141,allow
TXN-2026-00142,allow
TXN-2026-00143,block
TXN-2026-00144,allow
